region,hf_score,Criminal Justice,Religious Freedom,Personal Freedom,Economic Freedom
Caucasus & Central Asia,7.32,4.6,6.35,7.11,7.52
East Asia,7.35333333333333,5.73333333333333,6.8,7.47,7.23666666666667
Eastern Europe,7.50933333333333,4.94,7.51333333333333,7.94,7.07666666666667
Latin America & the Caribbean,7.09,3.85,8.505,7.282,6.8975
Middle East & North Africa,6.34142857142857,4.65714285714286,5.44285714285714,5.85285714285714,6.83
North America,8.555,6.95,8.95,8.97,8.135
Oceania,8.75,7.4,9.4,9.215,8.285
South Asia,6.52076923076923,4.23846153846154,5.97692307692308,6.20384615384615,6.83846153846154
Sub-Saharan Africa,6.40470588235294,4.05294117647059,7.86470588235294,6.36941176470588,6.43705882352941
Western Europe,8.36538461538462,7.43846153846154,8.06153846153846,9.07615384615385,7.65769230769231
